path,n_rows,n_cols,n_duplicated_rows,columns,id_candidate_columns,survival_candidate_columns
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/matched/clinical_cases.csv,140,1,0,case_id,case_id,
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/matched/cptac_pda_matched_case_summary.csv,140,40,0,case_id | n_wsi_series | tumor_included_for_the_study | normal_included_for_the_study | histology_diagnosis | age | sex | race | participant_country | tumor_site | tumor_focality | tumor_size_cm | tumor_necrosis | lymph_vascular_invasion | perineural_invasion | number_of_lymph_nodes_examined | number_of_lymph_nodes_positive_for_tumor | pathologic_staging_regional_lymph_nodes_pn | pathologic_staging_primary_tumor_pt | pathologic_staging_distant_metastasis_pm | clinical_staging_distant_metastasis_cm | residual_tumor | tumor_stage_pathological | additional_pathologic_findings | bmi | alcohol_consumption | tobacco_smoking_history | medical_condition | Neoplastic_cellularity | Acinar_fraction | Islet_fraction | Stromal_fraction | Non_neoplastic_duct | Fat_fraction | Inflammation_fraction | Muscle_fraction | follow_up_days | vital_status | is_this_patient_lost_to_follow_up | cause_of_death,case_id | n_wsi_series | is_this_patient_lost_to_follow_up,histology_diagnosis | tumor_necrosis | number_of_lymph_nodes_positive_for_tumor | follow_up_days | vital_status | is_this_patient_lost_to_follow_up | cause_of_death
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/matched/cptac_pda_matched_clinical.csv,140,39,0,case_id | tumor_included_for_the_study | normal_included_for_the_study | histology_diagnosis | age | sex | race | participant_country | tumor_site | tumor_focality | tumor_size_cm | tumor_necrosis | lymph_vascular_invasion | perineural_invasion | number_of_lymph_nodes_examined | number_of_lymph_nodes_positive_for_tumor | pathologic_staging_regional_lymph_nodes_pn | pathologic_staging_primary_tumor_pt | pathologic_staging_distant_metastasis_pm | clinical_staging_distant_metastasis_cm | residual_tumor | tumor_stage_pathological | additional_pathologic_findings | bmi | alcohol_consumption | tobacco_smoking_history | medical_condition | Neoplastic_cellularity | Acinar_fraction | Islet_fraction | Stromal_fraction | Non_neoplastic_duct | Fat_fraction | Inflammation_fraction | Muscle_fraction | follow_up_days | vital_status | is_this_patient_lost_to_follow_up | cause_of_death,case_id | is_this_patient_lost_to_follow_up,histology_diagnosis | tumor_necrosis | number_of_lymph_nodes_positive_for_tumor | follow_up_days | vital_status | is_this_patient_lost_to_follow_up | cause_of_death
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/matched/cptac_pda_matched_wsi_series.csv,469,9,0,collection_id | PatientID | StudyInstanceUID | SeriesInstanceUID | Modality | SeriesDescription | BodyPartExamined | series_size_MB | case_id,PatientID | SeriesInstanceUID | SeriesDescription | series_size_MB | case_id,
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/matched/phosphoproteome_cases.csv,140,1,0,case_id,case_id,
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/matched/proteome_cases.csv,140,1,0,case_id,case_id,
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/matched/rna_cases.csv,140,1,0,case_id,case_id,
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/omics/clinical_table_140.tsv,140,39,0,case_id | tumor_included_for_the_study | normal_included_for_the_study | histology_diagnosis | age | sex | race | participant_country | tumor_site | tumor_focality | tumor_size_cm | tumor_necrosis | lymph_vascular_invasion | perineural_invasion | number_of_lymph_nodes_examined | number_of_lymph_nodes_positive_for_tumor | pathologic_staging_regional_lymph_nodes_pn | pathologic_staging_primary_tumor_pt | pathologic_staging_distant_metastasis_pm | clinical_staging_distant_metastasis_cm | residual_tumor | tumor_stage_pathological | additional_pathologic_findings | bmi | alcohol_consumption | tobacco_smoking_history | medical_condition | Neoplastic_cellularity | Acinar_fraction | Islet_fraction | Stromal_fraction | Non_neoplastic_duct | Fat_fraction | Inflammation_fraction | Muscle_fraction | follow_up_days | vital_status | is_this_patient_lost_to_follow_up | cause_of_death,case_id | is_this_patient_lost_to_follow_up,histology_diagnosis | tumor_necrosis | number_of_lymph_nodes_positive_for_tumor | follow_up_days | vital_status | is_this_patient_lost_to_follow_up | cause_of_death
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/omics/phosphoproteomics_tumor_gene_level.cct,8004,141,0,Unnamed: 0 | C3L-03394 | C3N-03428 | C3L-02112 | C3N-01719 | C3N-03670 | C3N-02998 | C3N-03211 | C3L-01052 | C3N-00512 | C3N-02295 | C3N-01012 | C3N-01502 | C3L-01053 | C3L-03632 | C3L-00401 | C3L-01054 | C3N-00517 | C3N-03440 | C3L-04495 | C3N-04284 | C3N-00957 | C3L-03395 | C3N-00303 | C3N-00513 | C3N-01166 | C3N-01382 | C3N-01011 | C3L-04473 | C3N-01997 | C3L-00640 | C3L-00189 | C3N-01998 | C3L-01036 | C3N-03069 | C3L-00881 | C3N-01715 | C3N-03426 | C3N-00198 | C3N-01380 | C3N-01388 | C3L-03388 | C3N-02589 | C3L-03356 | C3N-02944 | C3N-00436 | C3L-00928 | C3L-01124 | C3N-02592 | C3N-01383 | C3N-03439 | C3N-03006 | C3N-01165 | C3N-03173 | C3L-04475 | C3L-04853 | C3L-02115 | C3L-02701 | C3L-00102 | C3N-01375 | C3N-03884 | C3N-01168 | C3L-00622 | C3N-01381 | C3L-01703 | C3L-02118 | C3L-03628 | C3N-03780 | C3L-01637 | C3N-04119 | C3L-02899 | C3N-02971 | C3N-02573 | C3L-00819 | C3N-01714 | C3L-02890 | C3L-02116 | C3L-01453 | C3L-03635 | C3N-00518 | C3N-03840 | C3L-02606 | C3N-03061 | C3L-04848 | C3N-00514 | C3L-02897 | C3L-01687 | C3N-02940 | C3L-04080 | C3N-03853 | C3N-04283 | C3L-02109 | C3L-03630 | C3L-01662 | C3N-00709 | C3N-03007 | C3N-03665 | C3L-01598 | C3L-00599 | C3L-01051 | C3N-01716 | C3N-03839 | C3L-04479 | C3L-00625 | C3N-03754 | C3L-01037 | C3N-03666 | C3N-04126 | C3L-00017 | C3L-01689 | C3L-04027 | C3N-02585 | C3N-03039 | C3N-03086 | C3L-02463 | C3N-00249 | C3L-00589 | C3N-00302 | C3L-03743 | C3N-00511 | C3N-03190 | C3N-00516 | C3L-02610 | C3N-02579 | C3N-03000 | C3L-00598 | C3N-03430 | C3L-02809 | C3N-02768 | C3L-03123 | C3N-02010 | C3L-01031 | C3N-01167 | C3L-01971 | C3L-02604 | C3L-00277 | C3L-01328 | C3L-03639 | C3N-04282 | C3L-04072 | C3L-02613,,
../../data/pancreatic_cancer_pathology/raw/CPTAC_PDAC/omics/proteomics_tumor_gene_level.cct,11662,141,0,Unnamed: 0 | C3L-03394 | C3N-03428 | C3L-02112 | C3N-01719 | C3N-03670 | C3N-02998 | C3N-03211 | C3L-01052 | C3N-00512 | C3N-02295 | C3N-01012 | C3N-01502 | C3L-01053 | C3L-03632 | C3L-00401 | C3L-01054 | C3N-00517 | C3N-03440 | C3L-04495 | C3N-04284 | C3N-00957 | C3L-03395 | C3N-00303 | C3N-00513 | C3N-01166 | C3N-01382 | C3N-01011 | C3L-04473 | C3N-01997 | C3L-00640 | C3L-00189 | C3N-01998 | C3L-01036 | C3N-03069 | C3L-00881 | C3N-01715 | C3N-03426 | C3N-00198 | C3N-01380 | C3N-01388 | C3L-03388 | C3N-02589 | C3L-03356 | C3N-02944 | C3N-00436 | C3L-00928 | C3L-01124 | C3N-02592 | C3N-01383 | C3N-03439 | C3N-03006 | C3N-01165 | C3N-03173 | C3L-04475 | C3L-04853 | C3L-02115 | C3L-02701 | C3L-00102 | C3N-01375 | C3N-03884 | C3N-01168 | C3L-00622 | C3N-01381 | C3L-01703 | C3L-02118 | C3L-03628 | C3N-03780 | C3L-01637 | C3N-04119 | C3L-02899 | C3N-02971 | C3N-02573 | C3L-00819 | C3N-01714 | C3L-02890 | C3L-02116 | C3L-01453 | C3L-03635 | C3N-00518 | C3N-03840 | C3L-02606 | C3N-03061 | C3L-04848 | C3N-00514 | C3L-02897 | C3L-01687 | C3N-02940 | C3L-04080 | C3N-03853 | C3N-04283 | C3L-02109 | C3L-03630 | C3L-01662 | C3N-00709 | C3N-03007 | C3N-03665 | C3L-01598 | C3L-00599 | C3L-01051 | C3N-01716 | C3N-03839 | C3L-04479 | C3L-00625 | C3N-03754 | C3L-01037 | C3N-03666 | C3N-04126 | C3L-00017 | C3L-01689 | C3L-04027 | C3N-02585 | C3N-03039 | C3N-03086 | C3L-02463 | C3N-00249 | C3L-00589 | C3N-00302 | C3L-03743 | C3N-00511 | C3N-03190 | C3N-00516 | C3L-02610 | C3N-02579 | C3N-03000 | C3L-00598 | C3N-03430 | C3L-02809 | C3N-02768 | C3L-03123 | C3N-02010 | C3L-01031 | C3N-01167 | C3L-01971 | C3L-02604 | C3L-00277 | C3L-01328 | C3L-03639 | C3N-04282 | C3L-04072 | C3L-02613,,
